day,breakfast,lunch
Вторник,"🥖 Хлеб из муки пшеничной
🍓 Варенье ягодное
🍯 Каша гречневая с молоком
🍋 Лимон (ломтик)
🍬 Сахар порционный
🍵 Чай/☕ Какао на молоке
🥐 Круассан","🍞 Хлеб из муки пшеничной
🍞 Хлеб ржано-пшеничный
🥩 Говядина по-мексикански
🍹 Чай / 🍓 Компот фруктовый/ягодный / 🍏 Напиток из сухофруктов
🥗 Масло растительное
🥒 Огурцы свежие
🥬 Пекинская капуста
🍅 Помидоры свежие
🍬 Сахар порционный
🍞 Гренки
🍚 Рис отварной
🍗 Бульон куриный с зеленью и яйцом / 🍲 Борщ Московский"
Понедельник,"🥖 Хлеб из муки пшеничной
🥞 Блинчики
🍋 Лимон (ломтик)
🥛 Молоко сгущенное с сахаром / 🍓 Варенье
🍇 Ягодное / 🍑 Джем в ассортименте
🍬 Сахар порционный
🍵 Чай/☕ Какао на молоке
🍊 Мандарины","🍞 Хлеб из муки пшеничной
🍞 Хлеб ржано-пшеничный
🍹 Чай / 🍓 Компот фруктовый/ягодный / 🍏 Напиток из сухофруктов
🥗 Капуста свежая
🧴 Масло растительное
🥒 Огурцы свежие
🍅 Помидоры свежие
🍬 Сахар порционный
🍲 Фрикадельки мясные
🍞 Гренки
🍛 Плов мясной
🍗 Бульон куриный с зеленью / 🍜 Суп фасолевый"
Среда,"🍽 Завтрак на Среда: 
🥖 Хлеб из муки пшеничной
🍓 Варенье ягодное
🥣 Каша гречневая с молоком
🍋 Лимон (ломтик)
🍬 Сахар порционный
🍵 Чай/☕ Какао на молоке
🥐 Круассан","🍽 Обед на Среда: 
🍞 Хлеб из муки пшеничной
🍞 Хлеб ржано-пшеничный
🍲 Азу по-татарски
🍹 Чай / 🍓 Компот фруктовый/ягодный / 🍏 Напиток из сухофруктов
🥗 Капуста свежая
🥔 Картофель отварной
🧴 Масло растительное
🥕 Морковь свежая
🥒 Огурцы свежие
🍬 Сахар порционный
🍞 Гренки
🍜 Бульон куриный с зеленью / 🍲 Суп-пюре куриный"
Четверг,"🍽 Завтрак на Четверг: 
🍚 Гречка отварная рассыпчатая
🍋 Лимон (ломтик)
🍬 Сахар порционный
🍅 Соус томатный
🍖 Фрикадельки по-калининградски
🍵 Чай/☕ Какао на молоке
🍧 Йогурт фруктовый/ 🧀 творог фруктовый","🍽 Обед на Четверг: 
🍞 Хлеб из муки пшеничной
🍞 Хлеб ржано-пшеничный
🍹 Чай / 🍓 Компот фруктовый/ягодный / 🍏 Напиток из сухофруктов
🥗 Капуста свежая
🧴 Масло растительное
🥒 Огурцы свежие
🍅 Помидоры свежие
🍬 Сахар порционный
🍲 Фрикадельки мясные
🍞 Гренки
🍛 Плов мясной
🍗 Бульон куриный с зеленью / 🍜 Суп фасолевый"
Пятница,"🍽 Завтрак на Пятница: 
🥖 Хлеб из муки пшеничной
🍰 Запеканка из творога
🍋 Лимон (ломтик)
🥛 Молоко сгущенное с сахаром / 🍓 Варенье ягодное / 🍯 Джем в ассортименте
🍬 Сахар порционный
🍵 Чай/☕ Какао на молоке
🍏 Яблоки","🍽 Обед на Пятница: 
🍞 Хлеб из муки пшеничной
🍞 Хлеб ржано-пшеничный
🍚 Гречка отварная рассыпчатая
🍹 Чай / 🍓 Компот фруктовый/ягодный / 🍏 Напиток из сухофруктов
🧴 Масло растительное
🍖 Митболы
🥕 Морковь свежая
🥒 Огурцы соленые
🍠 Свекла отварная
🍬 Сахар порционный
🍅 Соус томатный
🍞 Гренки
🍲 Суп минестроне"
